Time	Node	Type	Packets	
10	0	CacheHits	187
10	0	CacheMisses	932
10	1	CacheHits	13
10	1	CacheMisses	211
10	2	CacheHits	27
10	2	CacheMisses	224
10	3	CacheHits	76
10	3	CacheMisses	251
10	4	CacheHits	61
10	4	CacheMisses	322
10	5	CacheHits	156
10	5	CacheMisses	376
10	6	CacheHits	420
10	6	CacheMisses	523
10	7	CacheHits	0
10	7	CacheMisses	0
10	8	CacheHits	0
10	8	CacheMisses	0
10	9	CacheHits	0
10	9	CacheMisses	0
10	10	CacheHits	0
10	10	CacheMisses	0
10	11	CacheHits	0
10	11	CacheMisses	0
10	12	CacheHits	0
10	12	CacheMisses	0
10	13	CacheHits	0
10	13	CacheMisses	0
10	14	CacheHits	0
10	14	CacheMisses	0
10	15	CacheHits	0
10	15	CacheMisses	0
10	16	CacheHits	0
10	16	CacheMisses	0
10	17	CacheHits	0
10	17	CacheMisses	0
10	18	CacheHits	0
10	18	CacheMisses	0
10	19	CacheHits	0
10	19	CacheMisses	0
10	20	CacheHits	160
10	20	CacheMisses	827
10	21	CacheHits	195
10	21	CacheMisses	830
10	22	CacheHits	2
10	22	CacheMisses	127
10	23	CacheHits	5
10	23	CacheMisses	127
10	24	CacheHits	9
10	24	CacheMisses	128
10	25	CacheHits	7
10	25	CacheMisses	130
10	26	CacheHits	12
10	26	CacheMisses	130
10	27	CacheHits	11
10	27	CacheMisses	132
10	28	CacheHits	16
10	28	CacheMisses	132
10	29	CacheHits	15
10	29	CacheMisses	134
10	30	CacheHits	12
10	30	CacheMisses	139
10	31	CacheHits	21
10	31	CacheMisses	143
10	32	CacheHits	20
10	32	CacheMisses	153
10	33	CacheHits	25
10	33	CacheMisses	165
10	34	CacheHits	28
10	34	CacheMisses	181
10	35	CacheHits	43
10	35	CacheMisses	194
10	36	CacheHits	71
10	36	CacheMisses	225
10	37	CacheHits	104
10	37	CacheMisses	289
10	38	CacheHits	130
10	38	CacheMisses	375
10	39	CacheHits	280
10	39	CacheMisses	487
10	40	CacheHits	13
10	40	CacheMisses	175
10	41	CacheHits	338
10	41	CacheMisses	872
10	42	CacheHits	255
10	42	CacheMisses	739
10	43	CacheHits	486
10	43	CacheMisses	962
10	44	CacheHits	283
10	44	CacheMisses	673
10	45	CacheHits	492
10	45	CacheMisses	911
10	46	CacheHits	281
10	46	CacheMisses	599
10	47	CacheHits	483
10	47	CacheMisses	853
10	48	CacheHits	230
10	48	CacheMisses	552
10	49	CacheHits	255
10	49	CacheMisses	761
10	50	CacheHits	760
10	50	CacheMisses	965
10	51	CacheHits	6
10	51	CacheMisses	177
10	52	CacheHits	12
10	52	CacheMisses	178
10	53	CacheHits	21
10	53	CacheMisses	184
10	54	CacheHits	47
10	54	CacheMisses	199
10	55	CacheHits	93
10	55	CacheMisses	235
10	56	CacheHits	97
10	56	CacheMisses	314
10	57	CacheHits	135
10	57	CacheMisses	402
10	58	CacheHits	324
10	58	CacheMisses	518
10	59	CacheHits	0
10	59	CacheMisses	0
10	60	CacheHits	15
10	60	CacheMisses	182
10	61	CacheHits	187
10	61	CacheMisses	570
10	62	CacheHits	131
10	62	CacheMisses	268
10	63	CacheHits	194
10	63	CacheMisses	391
10	64	CacheHits	257
10	64	CacheMisses	572
10	65	CacheHits	310
10	65	CacheMisses	821
10	66	CacheHits	689
10	66	CacheMisses	1048
10	67	CacheHits	74
10	67	CacheMisses	253
10	68	CacheHits	105
10	68	CacheMisses	316
10	69	CacheHits	102
10	69	CacheMisses	400
10	70	CacheHits	354
10	70	CacheMisses	474
10	71	CacheHits	0
10	71	CacheMisses	0
10	72	CacheHits	0
10	72	CacheMisses	0
10	73	CacheHits	0
10	73	CacheMisses	0
10	74	CacheHits	0
10	74	CacheMisses	0
10	75	CacheHits	0
10	75	CacheMisses	0
10	76	CacheHits	0
10	76	CacheMisses	0
10	77	CacheHits	0
10	77	CacheMisses	0
10	78	CacheHits	0
10	78	CacheMisses	0
10	79	CacheHits	0
10	79	CacheMisses	0
10	80	CacheHits	9
10	80	CacheMisses	190
10	81	CacheHits	189
10	81	CacheMisses	556
10	82	CacheHits	38
10	82	CacheMisses	200
10	83	CacheHits	88
10	83	CacheMisses	233
10	84	CacheHits	89
10	84	CacheMisses	312
10	85	CacheHits	100
10	85	CacheMisses	388
10	86	CacheHits	126
10	86	CacheMisses	474
10	87	CacheHits	388
10	87	CacheMisses	581
